station,sign,frontiere_bas,frontiere_haut
15201,15,"['[00100]', '[00001]', '[10000]', '[01000]']",['[11111]']
16002,15,"['[00100]', '[00010]', '[00001]']",['[11111]']
16013,15,"['[00100]', '[00010]', '[10000]', '[01000]']",['[11111]']
16022,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
16107,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
16108,15,"['[01001]', '[01100]', '[00101]', '[10000]', '[00110]', '[01010]', '[00011]']",['[11111]']
16112,15,"['[00100]', '[00010]', '[00001]', '[10000]']",['[11111]']
16115,15,"['[00100]', '[00001]', '[10000]', '[01000]']",['[11111]']
16138,15,"['[00100]', '[00010]', '[10000]', '[01000]']","['[01101]', '[11001]', '[00111]', '[01011]', '[10101]', '[10011]']"
17005,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
17022,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
17025,15,"['[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
17039,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
17040,15,"['[00100]', '[10000]', '[01000]', '[00011]']","['[01111]', '[11101]', '[11011]', '[10111]']"
18006,15,"['[10010]', '[00110]', '[01010]', '[10100]', '[11000]']",['[11111]']
18017,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
18021,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
18023,15,"['[00100]', '[10010]', '[00001]', '[01000]']",['[11111]']
18024,15,"['[00100]', '[00010]', '[10000]']",['[11111]']
18025,15,"['[00100]', '[10000]', '[01000]']",['[11111]']
18030,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
18032,15,"['[01101]', '[10101]', '[11000]']",['[11111]']
18035,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
18046,15,"['[00110]', '[10100]', '[10010]']",['[11111]']
18114,15,"['[01000]', '[10000]']",['[11101]']
18134,15,"['[00100]', '[01000]', '[10000]', '[00010]']",['[11110]']
19024,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
19026,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
19033,15,"['[00110]', '[00011]', '[10010]']",['[11111]']
19036,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
19038,15,"['[00100]', '[00010]', '[10000]', '[01000]']",['[11111]']
19039,15,"['[00100]', '[00010]', '[00001]', '[01000]']",['[11111]']
19040,15,"['[00010]', '[10000]', '[01000]']",['[11111]']
19041,15,"['[01100]', '[00010]', '[10100]', '[11000]']",['[11111]']
19043,15,"['[00100]', '[00010]', '[00001]', '[10000]']",['[11111]']
19101,15,"['[00101]', '[10000]', '[00110]', '[01000]', '[00011]']",['[11111]']
19105,15,"['[00100]', '[00001]', '[10000]', '[00010]']",['[10111]']
19113,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
19121,15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
19130,15,"['[00001]', '[10000]', '[00110]', '[01000]']",['[11111]']
