station,sign,frontiere_bas,frontiere_haut
16029,-15,"['[10011]', '[01110]', '[01101]', '[10100]', '[11000]']","['[01111]', '[11011]', '[11101]', '[10111]']"
16121,-15,"['[00100]', '[10001]', '[10010]', '[01000]', '[00011]']",['[11111]']
16122,-15,"['[11011]', '[11101]', '[11110]', '[10111]']",['[11111]']
17028,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[00111]', '[11011]']"
21006,-15,"['[01101]', '[11000]', '[10001]']",['[11111]']
21022,-15,"['[00001]', '[10000]', '[01000]']",['[11111]']
21023,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[11110]', '[11101]', '[11011]']"
21029,-15,"['[01000]', '[10000]', '[00010]']",['[11011]']
21032,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[11010]', '[11101]']"
21110,-15,"['[01001]', '[01100]', '[10000]']","['[01111]', '[11011]', '[10111]']"
21314,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
21323,-15,"['[00100]', '[01001]', '[10001]', '[10010]', '[01010]', '[00011]', '[11000]']","['[11101]', '[11011]']"
21511,-15,"['[00100]', '[10000]', '[01000]', '[00011]']","['[01101]', '[11001]', '[11100]', '[11010]', '[00111]', '[01011]', '[10101]', '[01110]', '[10011]', '[10110]']"
22001,-15,"['[00100]', '[11000]', '[00010]']","['[11010]', '[11100]']"
22016,-15,"['[00110]', '[00011]', '[00101]', '[01000]', '[10000]']","['[01011]', '[10011]', '[00111]']"
22018,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']",['[11111]']
22304,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[11110]', '[11101]', '[10011]']"
23011,-15,"['[00100]', '[00001]', '[10000]']","['[11101]', '[11011]']"
23101,-15,"['[00110]', '[01001]', '[01100]', '[01010]', '[10000]']","['[00110]', '[01001]', '[01100]', '[10001]', '[10010]', '[01010]']"
23301,-15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[00100]', '[00001]', '[11000]', '[00010]']"
25004,-15,"['[00100]', '[01000]', '[10000]', '[00010]']","['[00100]', '[01000]', '[10000]', '[00010]']"
26010,-15,"['[01000]', '[10010]']",['[11110]']
27002,-15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[11010]', '[11001]', '[11100]']"
30002,-15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[00110]', '[00011]', '[00101]', '[01001]', '[11000]', '[10001]', '[10010]', '[01010]']"
30003,-15,"['[00100]', '[01000]', '[10000]']","['[00110]', '[01001]', '[00101]', '[10100]', '[11000]', '[01100]', '[10001]', '[10010]', '[01010]']"
31103,-15,"['[00110]', '[01001]', '[01100]', '[01010]', '[10000]']","['[01011]', '[01101]', '[00111]', '[10001]', '[10010]']"
31104,-15,"['[00110]', '[00101]', '[01000]', '[10000]']","['[00110]', '[00101]', '[01001]', '[10100]', '[01100]', '[10001]', '[10010]', '[01010]']"
32018,-15,"['[01000]', '[00001]', '[10000]', '[00010]']","['[00110]', '[00101]', '[01001]', '[10100]', '[01100]', '[10001]', '[10010]', '[01010]']"
32026,-15,"['[00100]', '[01000]', '[00001]', '[00010]']","['[11010]', '[10101]', '[11001]', '[10110]']"
34012,-15,"['[00100]', '[00001]', '[10000]', '[01000]']","['[01111]', '[10111]']"
35015,-15,"['[00100]', '[00010]', '[00001]', '[10000]']","['[11110]', '[11101]']"
40013,-15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[00011]', '[00101]', '[01001]', '[11000]', '[10001]']"
41304,-15,"['[00100]', '[00010]', '[00001]', '[10000]', '[01000]']","['[11110]', '[11101]', '[11011]']"
43101,-15,"['[00100]', '[10001]', '[10010]', '[01010]']","['[10100]', '[01100]', '[10001]', '[10010]', '[01010]']"
43103,-15,"['[00100]', '[01000]', '[10000]', '[00010]']","['[00100]', '[01000]', '[10000]', '[00010]']"
44016,-15,"['[00100]', '[01000]', '[10000]', '[00010]']","['[00110]', '[00101]', '[01001]', '[10100]', '[11000]', '[01100]', '[10001]', '[10010]', '[01010]']"
44101,-15,"['[00100]', '[01000]', '[00001]', '[10000]', '[00010]']","['[00001]', '[10100]', '[11000]', '[01100]', '[00010]']"
47008,-15,"['[00100]', '[00001]', '[10000]', '[00010]']","['[11010]', '[11001]', '[11100]']"
51002,-15,"['[01000]', '[10000]']","['[01000]', '[10000]']"
